customer_id,transaction_count,total_amount,avg_amount,max_risk_score,avg_risk_score
C06075,15,2610.22,174.01466666666664,0.93,0.39066666666666666
C07096,407,51137.3,125.64447174447176,0.88,0.14584766584766584
C11919,974,48663.18,49.96219712525667,0.97,0.223911704312115
C07867,3166,380577.82,120.20777637397347,0.95,0.16118130132659508
C06743,33,3646.13,110.48878787878789,0.29,0.10818181818181817
C10193,348,34484.53,99.09347701149424,0.86,0.14514367816091953
C11923,10361,408787.93,39.45448605346974,0.97,0.18133963903098158
C08925,296,44950.06,151.8583108108108,0.66,0.12760135135135137
C09301,3006,369027.9,122.76377245508982,0.96,0.16294743845642048
C03218,10344,1340913.1,129.63197022428463,0.96,0.15427397525135345
C08945,3490,439395.48,125.90128366762177,0.98,0.1617134670487106
C06598,74,3564.83,48.17337837837838,0.84,0.22783783783783784
C08662,592,60362.67,101.96396959459459,0.92,0.15447635135135135
C11709,4209,519462.14,123.41699691138038,0.96,0.15813970064148253
C07648,3693,492297.51,133.30558082859463,0.94,0.1579989168697536
C03575,1998,245280.08,122.7628028028028,0.98,0.15706206206206205
C03847,5,402.53,80.506,0.15,0.086
C10234,20,5545.86,277.293,0.32,0.133
C09711,168,17854.35,106.27589285714285,0.49,0.12970238095238096
C09339,23,1003.98,43.65130434782609,0.6,0.18956521739130436
C03622,31,16652.24,537.1690322580646,0.48,0.12967741935483873
C05704,2988,542790.5,181.6567938420348,0.96,0.2592336010709505
C09947,151,15879.44,105.16185430463577,0.77,0.1374834437086093
C05283,190,20070.81,105.63584210526317,0.69,0.13542105263157894
C12942,1364,287703.55,210.92635630498532,0.94,0.2557844574780059
C01109,3929,637577.49,162.27474930007637,0.94,0.14299058284550778
C09363,2428,297786.2,122.64670510708403,0.95,0.14467462932454694
C01525,326,13303.58,40.80852760736196,0.95,0.207239263803681
C01909,2038,285152.11,139.91762021589793,0.93,0.15483807654563297
C10906,514,57272.74,111.42556420233463,0.86,0.1504863813229572
C12593,156,29154.8,186.88974358974357,0.49,0.13333333333333333
C12961,1799,487576.87,271.0266092273485,0.95,0.2032295719844358
C03363,1257,124746.14,99.2411614956245,0.91,0.15178202068416866
C02354,7091,1000859.91,141.1451008320406,0.94,0.15104639684106613
C10745,296,45424.88,153.46243243243242,0.95,0.14807432432432432
C04108,2506,603717.88,240.90897047086992,0.97,0.27305267358339985
C07870,280,34280.6,122.43071428571427,0.94,0.14075
C10333,104,14007.41,134.6866346153846,0.92,0.15307692307692308
C13171,928,50362.89,54.27035560344827,0.95,0.22127155172413793
C02231,695,181106.3,260.58460431654674,0.98,0.2986187050359712
C05362,253,64123.94,253.45430830039527,0.89,0.20300395256916995
C04960,39,4294.97,110.1274358974359,0.4,0.12512820512820513
C11000,3748,1048867.9,279.8473585912486,0.98,0.23189967982924226
C10679,88,6740.14,76.5925,0.59,0.1527272727272727
C01953,271,37473.72,138.27940959409594,0.89,0.13715867158671588
