transaction_id,device_key
3005755,mobile|SAMSUNG SM-G892A Build/NRD90M
3009321,mobile|iOS Device
3002077,desktop|Windows
3002048,desktop|UNKNOWN
3012577,desktop|MacOS
3002085,desktop|Windows
3002110,mobile|UNKNOWN
3005830,desktop|Windows
3002120,desktop|Windows
3005821,desktop|Windows
3012642,mobile|SM-G930V Build/NRD90M
3002118,desktop|Windows
3009380,desktop|UNKNOWN
3000038,mobile|iOS Device
3002145,mobile|BLADE A602 Build/MRA58K
3002149,desktop|Windows
3002161,desktop|Windows
3002169,desktop|Windows
3005904,mobile|iOS Device
3000028,mobile|SM-G930V Build/NRD90M
3012688,desktop|MacOS
3000029,mobile|SM-G930V Build/NRD90M
3002179,mobile|XT1635-02 Build/NPN26.118-22-2
3002187,desktop|Windows
3000044,desktop|Windows
3002198,desktop|MacOS
3002203,desktop|MacOS
3002207,desktop|MacOS
3005924,desktop|Windows
3002220,desktop|Windows
3002217,desktop|MacOS
3002193,desktop|MacOS
3005912,mobile|iOS Device
3002229,mobile|iOS Device
3002221,desktop|Windows
3002288,desktop|Windows
3006015,mobile|iOS Device
3006010,mobile|Z970
3009425,mobile|UNKNOWN
3012888,desktop|Windows
3002280,mobile|UNKNOWN
3012850,desktop|Windows
3002286,desktop|Windows
3000065,mobile|iOS Device
3009462,mobile|iOS Device
3002290,mobile|UNKNOWN
3002249,mobile|iOS Device
3009485,desktop|Windows
3002278,mobile|SM-N920V Build/NRD90M
3000102,mobile|iOS Device
3005969,mobile|Redmi Note 4 Build/MMB29M
3005996,mobile|Redmi Note 4 Build/MMB29M
3006014,mobile|Redmi Note 4 Build/MMB29M
3000075,mobile|iOS Device
3002334,desktop|Windows
3002338,desktop|Windows
3012896,mobile|UNKNOWN
3009473,desktop|Windows
3002343,mobile|iOS Device
3002381,desktop|Windows
3002348,mobile|iOS Device
3000128,desktop|Windows
3002351,mobile|iOS Device
3009484,desktop|MacOS
3002360,desktop|Windows
3006062,desktop|Windows
3009581,desktop|UNKNOWN
3000120,mobile|UNKNOWN
3006128,mobile|Lenovo PB1-750M Build/S100
3002363,desktop|MacOS
3002393,desktop|Windows
3000139,desktop|Windows
3013013,desktop|Windows
3009610,mobile|iOS Device
3002408,desktop|Windows
3009554,mobile|iOS Device
3009624,mobile|iOS Device
3002412,mobile|iOS Device
3009632,mobile|iOS Device
3009617,mobile|LT22i Build/6.2.A.1.100
3002423,desktop|MacOS
3002430,desktop|MacOS
3009585,mobile|iOS Device
3002476,desktop|rv:52.0
3013037,mobile|UNKNOWN
3002446,desktop|MacOS
3002447,desktop|MacOS
3002451,mobile|UNKNOWN
3009607,desktop|UNKNOWN
3013025,mobile|SM-G950U Build/NRD90M
3009649,mobile|LG-H872 Build/NRD90U
3002456,desktop|MacOS
3000156,desktop|MacOS
3002458,mobile|LG-K500 Build/MMB29M
3002469,mobile|iOS Device
3002470,mobile|UNKNOWN
3002484,mobile|iOS Device
3002504,mobile|iOS Device
3009613,desktop|Windows
3002479,mobile|iOS Device
3002546,mobile|iOS Device
3009689,desktop|Windows
3009694,mobile|iOS Device
3009635,mobile|iOS Device
3009703,desktop|Windows
3002542,mobile|iOS Device
3002503,mobile|UNKNOWN
3006187,mobile|SM-P550 Build/MMB29M
3009656,mobile|UNKNOWN
3013135,desktop|Windows
3006271,mobile|iOS Device
3002530,desktop|Windows
3002549,mobile|SM-J700M Build/MMB29K
3000179,desktop|Trident/7.0
3009660,desktop|rv:57.0
3002536,desktop|Windows
3000181,mobile|SM-G950U Build/NRD90M
3002541,mobile|UNKNOWN
3009737,mobile|iOS Device
3000182,mobile|SAMSUNG SM-G930T Build/NRD90M
3002537,mobile|iOS Device
3013087,desktop|Windows
3002557,desktop|Windows
3002560,desktop|MacOS
3002562,desktop|Windows
3013177,mobile|Blade V6 Plus Build/MRA58K
3002553,mobile|iOS Device
3009762,desktop|Windows
3009732,desktop|UNKNOWN
3002578,desktop|Windows
3002580,desktop|MacOS
3002585,desktop|Windows
3002590,desktop|MacOS
3002593,desktop|Trident/7.0
3002595,mobile|BLL-L23 Build/HUAWEIBLL-L23
3002599,mobile|iOS Device
3002601,mobile|KYOCERA-C6742A Build/LMY47V
3002587,mobile|iOS Device
3006332,mobile|iOS Device
3009744,mobile|iOS Device
3002592,mobile|iOS Device
3002635,mobile|iOS Device
3002605,desktop|MacOS
3009813,desktop|Windows
3009800,desktop|Windows
3006325,mobile|iOS Device
3009749,desktop|UNKNOWN
3013233,mobile|UNKNOWN
3000227,mobile|F3113 Build/33.2.A.4.70
3002625,desktop|Trident/7.0
3002627,mobile|UNKNOWN
3002619,mobile|iOS Device
3002634,desktop|Windows
3000212,mobile|iOS Device
3009821,desktop|Windows
3000239,desktop|Windows
3002645,desktop|Windows
3000230,mobile|iOS Device
3009827,desktop|Windows
3000237,mobile|D5306 Build/19.4.A.0.182
3002651,desktop|Windows
3009775,desktop|Windows
3013272,desktop|Windows
3013274,desktop|Windows
3002657,desktop|Windows
3002660,desktop|Windows
3002661,desktop|Trident/7.0
3006376,mobile|iOS Device
3002663,desktop|Windows
3009837,desktop|Windows
3013241,desktop|Windows
3009874,desktop|Windows
3002670,mobile|KYOCERA-C6742A Build/LMY47V
3002671,mobile|iOS Device
3002675,desktop|Windows
